BSNS_NO,FCLTY_NM,ITEM_CD,ITEM_NM,CTPRVN_CD,CTPRVN_NM,SIGNGU_CD,SIGNGU_NM,FCLTY_ADDR,FCLTY_DETAIL_ADDR,ZIP_NO,TEL_NO,COURSE_NM,COURSE_NO,COURSE_ESTBL_YEAR,COURSE_ESTBL_MT,COURSE_BEGIN_DE,COURSE_END_DE,COURSE_REQST_NMPR_CO,COURSE_PRC
1221748864,맹호체육관,03,기타종목,28,인천,28237,부평구,인천 부평구 부개1동 211~316,259-19 승민빌딩4층 특공무술 맹호체육관,40381,,특공무술 주짓수 맹호체육관,871571,2024,09,20240901,20240930,9,100000.00000
1221748864,맹호체육관,03,기타종목,28,인천,28237,부평구,인천 부평구 부개1동 211~316,259-19 승민빌딩4층 특공무술 맹호체육관,40381,,특공무술 주짓수 맹호체육관,871571,2024,10,20241001,20241031,6,100000.00000
1228205863,부평남부체육센터,12,수영,28,인천,28237,부평구,인천광역시 부평구 동수로 66,부평남부체육센터 1층 사무실(부평동),21431,0325287505,어린이 수영(월수금),2248536,2024,10,20240919,20240923,1,45000.00000
1229228322,용인대비룡태권도장,22,태권도,28,인천,28245,계양구,인천광역시 계양구 병방로 138-2,희광빌딩 5층,21028,0325488573,태권도,2316645,2024,09,20240901,20240930,13,100000.00000
1229228322,용인대비룡태권도장,22,태권도,28,인천,28245,계양구,인천광역시 계양구 병방로 138-2,희광빌딩 5층,21028,0325488573,태권도,2316645,2024,10,20241001,20241031,13,100000.00000
1259173945,용인대 가온누리 태권도장,22,태권도,41,경기,41550,안성시,경기 안성시 금산동 주은청설아파트,75-3 후문상가 3층 용인대 비호 태권도장,45670,0316772949,태권도,14639,2024,09,20240901,20240930,5,160000.00000
1259173945,용인대 가온누리 태권도장,22,태권도,41,경기,41550,안성시,경기 안성시 금산동 주은청설아파트,75-3 후문상가 3층 용인대 비호 태권도장,45670,0316772949,태권도,14639,2024,10,20241001,20241031,6,160000.00000
1259173945,용인대 가온누리 태권도장,22,태권도,41,경기,41550,안성시,경기 안성시 금산동 주은청설아파트,75-3 후문상가 3층 용인대 비호 태권도장,45670,0316772949,태권도,14639,2024,11,20241101,20241130,5,160000.00000
1269069108,키즈중앙태권도장,22,태권도,41,경기,41670,여주시,경기도 여주시 여양로 341,2층 키즈중앙태권도장(오학동),12637,0318867070,태권도,171114,2024,09,20240901,20240930,11,100000.00000
1269069108,키즈중앙태권도장,22,태권도,41,경기,41670,여주시,경기도 여주시 여양로 341,2층 키즈중앙태권도장(오학동),12637,0318867070,태권도,171114,2024,10,20241001,20241031,10,100000.00000
1269103438,부발태권도체육관,22,태권도,41,경기,41500,이천시,경기도 이천시 부발읍 무천리 179-3,부발태권도체육관,46786,0316333948,부발 태권도 체육관,2320539,2024,09,20240901,20240930,9,100000.00000
1269154000,용인대 아이신성 태권도장,22,태권도,41,경기,41670,여주시,경기 여주군 가남읍 심성리,118 세광리피타운상가4층,46971,0318837658,태권도,168219,2024,09,20240901,20240930,10,100000.00000
1269154000,용인대 아이신성 태권도장,22,태권도,41,경기,41670,여주시,경기 여주군 가남읍 심성리,118 세광리피타운상가4층,46971,0318837658,태권도,168219,2024,10,20241001,20241031,10,100000.00000
1279163308,중앙광정태권도장,22,태권도,41,경기,41150,의정부시,경기 의정부시 의정부1동 214~239,(의정부동),48084,0318414206,중앙광정태권도장,11939,2024,09,20240901,20240930,14,100000.00000
1279163308,중앙광정태권도장,22,태권도,41,경기,41150,의정부시,경기 의정부시 의정부1동 214~239,(의정부동),48084,0318414206,중앙광정태권도장,11939,2024,10,20241001,20241031,14,100000.00000
1289037956,천하태권도장,22,태권도,41,경기,41480,파주시,경기 파주시 법원읍 법원5리,445-1,41387,,태권도,1,2024,09,20240901,20240930,14,100000.00000
1289037956,천하태권도장,22,태권도,41,경기,41480,파주시,경기 파주시 법원읍 법원5리,445-1,41387,,태권도,1,2024,10,20241001,20241031,14,100000.00000
1289083805,일산 태극체육관,22,태권도,41,경기,41280,고양시,경기 고양시 일산서구 대화동 2201~2230,성저동익상가3층,41180,0319150704,태권도,162599,2024,09,20240901,20240930,9,100000.00000
1289252010,일산검도교실,01,검도,41,경기,41280,고양시,경기 고양시 일산서구 주엽2동 1~34,30번지 하나프라자 504호,41183,0319181188,검도,11890,2024,09,20240901,20240930,1,130000.00000
1289252010,일산검도교실,01,검도,41,경기,41280,고양시,경기 고양시 일산서구 주엽2동 1~34,30번지 하나프라자 504호,41183,0319181188,일산검도교실,16456,2024,09,20240901,20240930,0,110000.00000
1289252010,일산검도교실,01,검도,41,경기,41280,고양시,경기 고양시 일산서구 주엽2동 1~34,30번지 하나프라자 504호,41183,0319181188,일산검도교실,1909501,2024,09,20240901,20240930,1,100000.00000
1289252010,일산검도교실,01,검도,41,경기,41280,고양시,경기 고양시 일산서구 주엽2동 1~34,30번지 하나프라자 504호,41183,0319181188,검도수련,38475,2024,09,20240901,20240930,3,150000.00000
1289252010,일산검도교실,01,검도,41,경기,41280,고양시,경기 고양시 일산서구 주엽2동 1~34,30번지 하나프라자 504호,41183,0319181188,검도,11890,2024,10,20241001,20241031,1,130000.00000
1289252010,일산검도교실,01,검도,41,경기,41280,고양시,경기 고양시 일산서구 주엽2동 1~34,30번지 하나프라자 504호,41183,0319181188,일산검도교실,1909501,2024,10,20241001,20241031,2,100000.00000
1289252010,일산검도교실,01,검도,41,경기,41280,고양시,경기 고양시 일산서구 주엽2동 1~34,30번지 하나프라자 504호,41183,0319181188,검도수련,38475,2024,10,20241001,20241031,1,150000.00000
1289382660,명지아성태권도,22,태권도,41,경기,41280,고양시,경기 고양시 덕양구 주교동 551~574,오익상가2층 아성태권도 (주교동),41281,,태권도,2251743,2024,09,20240901,20240930,4,100000.00000
1289382660,명지아성태권도,22,태권도,41,경기,41280,고양시,경기 고양시 덕양구 주교동 551~574,오익상가2층 아성태권도 (주교동),41281,,태권도,2251743,2024,10,20241001,20241031,4,100000.00000
1289382660,명지아성태권도,22,태권도,41,경기,41280,고양시,경기 고양시 덕양구 주교동 551~574,오익상가2층 아성태권도 (주교동),41281,,태권도,2251743,2024,11,20241101,20241130,3,100000.00000
1299169614,신강호태권도,22,태권도,11,서울,11380,은평구,서울 은평구 녹번동 77~91,"82-11 ,   3층",12282,023829498,"태권도,합기도,줄넘기,학교체육",1540467,2024,09,20240901,20240930,4,100000.00000
1299266569,참피온상대태권도체육관,22,태권도,41,경기,41130,성남시,경기 성남시 중원구 상대원3동 562~662,3층 참피온상대체육관,46280,,참피온태권도,11772,2024,09,20240901,20240930,12,100000.00000
